model,accuracy,precision,recall,f1,fpr,training_time_s,inference_time_s,inference_per_sample_ms,n_features,n_params,model_size_kb,confusion_matrix
CNN,0.8760244323917395,0.9839834181270021,0.8313823413579574,0.9012689963392589,0.028839285714285713,11.013693700002477,0.0595513000007486,0.00033963134692256003,20,3457,47.6181640625,"[[54385, 1615], [20123, 99218]]"
SVM,0.8820697954271961,0.9750585017767206,0.8484343184655735,0.907349989246541,0.04625,66.54566279999926,163.142411599998,0.9304293439640359,20,0,3077.5732421875,"[[53410, 2590], [18088, 101253]]"
CNN+SVM,0.8816363543038993,0.9799055639390547,0.8433899498076939,0.9065370897431279,0.03685714285714286,61.364221399999224,151.72842239999954,0.8653333926463265,20,3457,7148.59765625,"[[53936, 2064], [18690, 100651]]"
